Ship,Country or organization,Class,Type,Displacement (tons),First commissioned,Fate,Displacement,Country,YEAR
Ellet,USA,Benham,DD,1500,17 February 1939,scrapped 1947,,,
Elli,Hellenic Navy,Chao Ho,protected cruiser,2115,November 1913,sunk 15 August 1940,,,
Ellyson,USA,Gleaves,DD,1630,28 November 1941,"to Japan 1954, scrapped 1970",,,
Emanuele Filiberto Duca d'Aosta,Regia Marina,Duca d'Aosta,CL,8450,13 July 1935,"ceded to USSR 1949, renamed Kerch, scrapped in 1960s",,,
Emden,GER,,CL,5600,October 1925,scuttled 3 May 1945,,,
Emerald,ENG,Emerald,CL,7580,14 January 1926,scrapped July 1948,,,
Émile Bertin,French Navy  Free French Naval Forces,,CL,5886,28 January 1935,scrapped 1959,,,
Emmons,USA,Gleaves,DD,1630,5 December 1941,sunk 6 April 1945,,,
Emperor,ENG,Ruler,CVE,11400,6 August 1943,"paid off 28 March 1946, scrapped 1946",,,
Empire Activity,ENG,Empire,merchant aircraft carrier,14250,29 September 1942,20 October 1945,,,
Empire Audacity,ENG,Empire,merchant aircraft carrier,11000,20 June 1941,Sunk 21 December 1941,,,
Empire MacAlpine,ENG,Empire,merchant aircraft carrier,8000,14 April 1943,transferred to merchant service post-war; renamed Derryname,,,
Empire MacAndrew,ENG,Empire,merchant aircraft carrier,8000,7 July 1943,transferred to merchant service post-war; renamed Derryheen,,,
Empire MacCabe,ENG,Empire,merchant aircraft carrier,9000,November 1943,"Transferred to merchant service 1946, renamed British Escort",,,
Empire MacCallum,ENG,Empire,merchant aircraft carrier,8000,22 December 1943,transferred to merchant service post-war; renamed Alpha Zambesi,,,
Empire MacColl,ENG,Empire,merchant aircraft carrier,9000,November 1943,"Transferred to merchant service 1946, renamed British Pilot",,,
Empire MacDermott,ENG,Empire,merchant aircraft carrier,8000,31 March 1944,transferred to merchant service post-war; renamed La Cumbre,,,
Empire MacKay,ENG,Empire,merchant aircraft carrier,9000,5 October 1943,"Transferred to merchant service 1946, renamed British Swordfish",,,
Empire MacKendrick,ENG,Empire,merchant aircraft carrier,8000,December 1943,transferred to merchant service post-war; renamed Granpond,,,
Empire MacMahon,ENG,Empire,merchant aircraft carrier,9000,December 1943,"Transferred to merchant service 1946, renamed Naninia",,,
Empire MacRae,ENG,Empire,merchant aircraft carrier,8000,20 September 1943,"Returned to merchant service 1947, renamed Alpha Zambesi",,,
Empress,ENG,Ruler,CVE,7800,9 August 1943,"paid off 28 March 1946, scrapped 1946",,,
Endicott,USA,Gleaves,DD,1630,25 February 1943,"decommissioned 1955, scrapped 1970",,,
England,USA,Buckley,DE,1400,10 December 1943,"sold and broken up, 26 November 1946",,,
Enterprise,ENG,Emerald,CL,7580,7 April 1926,scrapped April 1946,,,
Enterprise,USA,Yorktown,CV,25100,12 May 1938,"decommissioned 1947,scrapped 1959",,,
Entre Rios,Argentine Navy,Buenos Aires,DD,1375,,,,,
Erebus,ENG,Erebus,BM,8000,2 September 1916,Scrapped July 1946,,,
Erica,ENG,Flower,K,925,9 August 1940,sunk 9 February 1943,,,
Ericsson,USA,Gleaves,DD,1630,13 March 1941,"decommissioned 1946, sunk as target 1970",,,
Eridge,ENG,Hunt,DE,1050,28 February 1941,scrapped 1946,,,
Eritrea,Regia Marina,,SL,2200,1937,"ceded to France 1948, renamed Francis Garnier, expended as target 1966",,,
Eskdale,Royal Norwegian Navy,Hunt,DE,1050,31 July 1942,sunk 14 April 1943,,,
Eskimo,ENG,Tribal,DD,2020,30 December 1938,scrapped 1949,,,
Essex,USA,Essex,CV,30800,31 December 1942,"decommissioned 30 June 1969, scrapped 1975",,,
Ettrick,Royal Navy  Royal Canadian Navy,River,FF,1445,11 July 1943,"to Canada 29 January 1944, paid off 30 May 1945",,,
Eugenio di Savoia,Regia Marina,Duca d'Aosta,CL,8750,16 January 1936,"ceded to Greece 1950, renamed Elli, scrapped 1973",,,
Evertsen,Netherlands,Admiralen,DD,1337,12 April 1928,"Destroyed, 1 March 1942",,,
Exeter,ENG,York,CA,8390,23 July 1931,sunk 1 March 1942,,,
Exmoor (I),ENG,Hunt,DE,1000,18 October 1940,"sunk by E-boat S-30, 25 February 1941",,,
Exmoor (II),ENG,Hunt,DE,1050,18 October 1941,November 1945,,,
Explorer,United States Coast and Geodetic Survey,,survey ship,1800,Spring 1940,decommissioned 1968[5][6][7][8],,,
Express,Royal Navy  Royal Canadian Navy,E,DD,1405,29 May 1934,"Transferred to RCN June 1943 as Gatineau, paid off 1955",,,
Eyebright,Royal Navy  Royal Canadian Navy,Flower,K,925,26 November 1940,"to Canada 15 May 1941, paid off 17 June 1945",,,
Racehorse,ENG,R,DD,1705.0,1942,scrapped 8 December 1949,,,
Raider,ENG,R,DD,1705.0,1942,paid off January 1946,,,
Raimondo Montecuccoli,Regia Marina,Montecuccoli,CL,3184.0,1935,decommissioned 1964,,,
Rainbow,ENG,Rainbow,SS,2060.0,18 January 1932,Sunk 4 October 1940 in collision,,,
Rajah,ENG,Ruler,CVE,11400.0,17 January 1944,"paid off 7 February 1947, scrapped 1975",,,
Rajputana,ENG,,armed merchant cruiser,16568.0,December 1939,sunk 13 April 1941,,,
Raleigh,USA,Omaha,CL,7050.0,6 February 1924,scrapped 1946,,,
Ralph Talbot,USA,Bagley,DD,1500.0,14 October 1937,"scuttled after A-bomb test, 1948",,,
Ramb I,Regia Marina,,Armed merchant cruiser,3667.0,10 June 1940,sunk 27 February 1941,,,
Ramb II,Regia Marina,,Armed merchant cruiser,3667.0,10 June 1940,"to Japanese as Calitea II, sunk on 12 January 1945",,,
Ramb III,Regia Marina,,Armed merchant cruiser,3667.0,10 June 1940,"to Germany 9 September 1943, then in post-war service with the Yugoslav Navy as Galeb",,,
Ramillies,ENG,Revenge,BB,29150.0,1 September 1917,"Decommissioned 31 August 1945, scrapped 1949",,,
Rampur,Royal Indian Navy,Basset,AM,529.0,1941–1944,1941–1944,,,
Ramsay,USA,Wickes,minelayer destroyer,1090.0,15 February 1919,"Decommissioned 19 October 1945, scrapped 1947",,,
Randolph,USA,Essex,CV,27100.0,29 June 1944,"decommissioned 13 February 1969, scrapped 1975",,,
Ranee,ENG,Ruler,CVE,7800.0,2 June 1943,"paid off 22 January 1947, scrapped 1973",,,
Ranger,USA,Ranger,CV,14500.0,4 June 1934,"decommissioned 18 October 1946, scrapped 1947",,,
Ranunculus,ENG,Flower,K,925.0,28 July 1941,returned to Royal Navy 1947,,,
Rapana,ENG,Rapana,merchant aircraft carrier,16000.0,July 1943,transferred to merchant service post-war; renamed Rotula,,,
Rapid,ENG,R,DD,1705.0,20 February 1943,"sunk as target, 13 September 1981",,,
Ravager,ENG,Ruler,CVE,14630.0,25 April 1943,"paid off February 1946, scrapped 1973",,,
Rawalpindi,ENG,,Armed merchant cruiser,16697.0,1 October 1939,Sunk 23 November 1939,,,
Razumny,Soviet Navy,Gnevny,DD,1695.0,November 1941,scrapped 1964,,,
Reaper,ENG,Ruler,CVE,7800.0,21 February 1944,"paid off 2 July 1946, scrapped 1967",,,
Rechinul,Royal Romanian Navy,Rechinul,SS,585.0,9 May 1943,"captured by the Soviets in August 1944, scrapped after the war",,,
Redmill,ENG,Captain,FF,1300.0,30 November 1943,declared total loss 27 April 1945,,,
Redoubt,ENG,R,DD,1705.0,1 October 1942,"transferred to the Indian Navy as Ranjit, 1949; scrapped 1979",,,
Regent,ENG,Rainbow,SS,2060.0,11 November 1930,Sunk 18 April 1943,,,
Regina,Royal Canadian Navy,Flower,K,925.0,22 January 1942,sunk on 8 August 1944 by U-667,,,
Regulus,ENG,Rainbow,SS,2060.0,7 December 1930,Sunk 6 December 1940,,,
Reid,USA,Mahan,DD,1450.0,2 November 1936,sunk 11 December 1944,,,
Relentless,ENG,R,DD,1705.0,30 November 1942,paid off August 1965,,,
Reno,USA,Atlanta,CL,6000.0,28 December 1943,"decommissioned 1946, scrapped 1962",,,
Renoncule,Free French Naval Forces,Flower,K,925.0,28 July 1941,1947,,,
Renown,ENG,Renown,battlecruiser,32000.0,20 September 1916,scrapped 1948,,,
Repulse,ENG,Renown,battlecruiser,32000.0,18 August 1916,sunk 10 December 1941,,,
Resolution,ENG,Revenge,BB,29150.0,7 December 1916,scrapped 1949,,,
Restigouche,Royal Canadian Navy,C,DD,1375.0,15 June 1938,paid off 6 October 1945,,,
Reuben James,USA,Clemson,DD,1200.0,24 September 1920,"sunk by U-552, 31 October 1941",,,
Revenge,ENG,Revenge,BB,29150.0,1 February 1916,scrapped 1948,,,
Rhind,USA,Benham,DD,1500.0,10 November 1939,scuttled after A-bomb test 1948,,,
Rhododendron,ENG,Flower,K,925.0,18 October 1940,decommissioned 1947; sold 1950; scrapped 1968,,,
Ribble,Royal Navy  Royal Canadian Navy,River,FF,1445.0,1944,"to Canada 24 July 1944, paid off 11 June 1945",,,
Richelieu,French Navy  Free French Naval Forces,Richelieu,BB,35000.0,15 July 1940,scrapped 1968,,,
Fairfax,Royal Navy  Royal Canadian Navy  Soviet Navy,Town,DD,1060.0,26 November 1940,"to Canada 1942, to USSR 16 July 1944 as Jivoochyi",,,
Richmond,USA,Omaha,CL,7050.0,2 July 1923,scrapped 1946,,,
Rimouski,Royal Canadian Navy,Flower,K,925.0,26 April 1941,paid off 24 July 1945,,,
Rio Grande do Sul,Brazilian Navy,Bahia,CL,3100.0,1910,scrapped 1948,,,
Riquelme,CHL,Serrano,DD,1090.0,,Discarded 1963,,,
Rivadavia,Argentine Navy,Rivadavia,dreadnought,27720.0,27 August 1914,scrapped February 1956,,,
Riviere du Loup,Royal Canadian Navy,Flower modified,K,1015.0,21 November 1943,2 July 1945,,,
Ro-31,JPN,Kaichū V type,training submarine,1030.0,10 May 1927,scuttled 5 April 1946,,,
Ro-33,JPN,Kaichū VI type,SS,1200.0,7 October 1935,sunk 29 August 1942,,,
Ro-34,JPN,Kaichū VI type,SS,1200.0,31 May 1937,sunk 7 April 1943,,,
Ro-35,JPN,Kaichū VII type,SS,1447.0,25 March 1943,sunk 25 August 1943,,,
Ro-36,JPN,Kaichū VII type,SS,1447.0,27 May 1943,sunk 13 June 1944,,,
Ro-37,JPN,Kaichū VII type,SS,1447.0,30 June 1943,sunk 22 January 1944,,,
Ro-38,JPN,Kaichū VII type,SS,1447.0,24 July 1943,missing after 19 November 1943,,,
Ro-39,JPN,Kaichū VII type,SS,1447.0,12 September 1943,sunk 1 February 1944,,,
Ro-40,JPN,Kaichū VII type,SS,1447.0,28 September 1943,sunk 16 February 1944,,,
Ro-41,JPN,Kaichū VII type,SS,1447.0,26 November 1943,sunk 23 March 1945,,,
Ro-42,JPN,Kaichū VII type,SS,1447.0,31 August 1943,sunk 11 June 1944,,,
Ro-43,JPN,Kaichū VII type,SS,1447.0,16 December 1943,sunk 26 February 1945,,,
Ro-44,JPN,Kaichū VII type,SS,1447.0,13 September 1943,sunk 16 June 1944,,,
Ro-45,JPN,Kaichū VII type,SS,1447.0,11 January 1944,sunk 30 April 1944,,,
Ro-46,JPN,Kaichū VII type,SS,1447.0,19 February 1944,missing after 17 April 1945,,,
Ro-47,JPN,Kaichū VII type,SS,1447.0,31 January 1944,sunk 26 September 1944,,,
Ro-48,JPN,Kaichū VII type,SS,1447.0,31 March 1944,Sunk 19 July 1944,,,
Ro-49,JPN,Kaichū VII type,SS,1447.0,19 May 1944,missing after 25 March 1945,,,
Ro-50,JPN,Kaichū VII type,SS,1447.0,31 July 1944,scuttled 1 April 1946,,,
Ro-55,JPN,Kaichū VII type,SS,1447.0,30 September 1944,sunk 7 February 1945,,,
Ro-56,JPN,Kaichū VII type,SS,1447.0,15 November 1944,sunk 9 April 1945,,,
Ro-57,JPN,Type L3,training submarine,1102.7,30 July 1922,scrapped 1946,,,
Ro-58,JPN,Type L3,training submarine,1102.7,25 November 1922,scrapped 1946,,,
Ro-59,JPN,Type L3,training submarine,1102.7,20 March 1923,scrapped 1946,,,
Ro-60,JPN,Type L4,SS,1301.0,17 September 1923,wrecked 29 December 1941,,,
Ro-61,JPN,Type L4,SS,1301.0,9 February 1924,sunk 31 August 1942,,,
Ro-62,JPN,Type L4,SS,1301.0,24 July 1924,scuttled May 1946,,,
Ro-63,JPN,Type L4,SS,1301.0,20 December 1924,scuttled May 1946,,,
Ro-64,JPN,Type L4,SS,1301.0,30 April 1925,sunk 12 April 1945,,,
Ro-65,JPN,Type L4,SS,1301.0,30 June 1926,sunk in diving accident 3 November 1942,,,
Ro-66,JPN,Type L4,SS,1301.0,28 July 1927,sunk in collision 17 December 1941,,,
Ro-67,JPN,Type L4,SS,1301.0,15 December 1926,scrapped 1946,,,
Ro-68,JPN,Type L4,SS,1301.0,29 October 1925,scuttled 30 April 1946,,,
Ro-100,JPN,Ko type,coastal submarine,782.0,23 September 1942,sunk 25 November 1943,,,
Ro-101,JPN,Ko type,coastal submarine,782.0,31 October 1942,sunk 15 September 1943,,,
Ro-102,JPN,Ko type,coastal submarine,782.0,17 November 1942,missing after 9 May 1943,,,
Ro-103,JPN,Ko type,coastal submarine,782.0,21 October 1942,missing after 28 July 1943,,,
Ro-104,JPN,Ko type,coastal submarine,782.0,25 February 1943,sunk 23 May 1944,,,
Ro-105,JPN,Ko type,coastal submarine,782.0,5 March 1943,sunk 31 May 1944,,,
Ro-106,JPN,Ko type,coastal submarine,782.0,26 December 1942,sunk 22 May 1944,,,
Ro-107,JPN,Ko type,coastal submarine,782.0,26 December 1942,missing after 6 July 1943,,,
Ro-108,JPN,Ko type,coastal submarine,782.0,20 April 1943,sunk 26 May 1944,,,
Ro-109,JPN,Ko type,coastal submarine,782.0,30 April 1943,sunk 25 April 1945,,,
Ro-110,JPN,Ko type,coastal submarine,782.0,6 July 1943,Sunk 11 February 1944,,,
Ro-111,JPN,Ko type,coastal submarine,782.0,19 July 1943,sunk 10 June 1944,,,
Ro-112,JPN,Ko type,coastal submarine,782.0,14 September 1943,sunk 11 February 1945,,,
Ro-113,JPN,Ko type,coastal submarine,782.0,12 October 1943,sunk 13 February 1945,,,
Ro-114,JPN,Ko type,coastal submarine,782.0,20 November 1943,sunk 17 June 1944,,,
Ro-115,JPN,Ko type,coastal submarine,782.0,30 November 1943,sunk 1 February 1945,,,
Ro-116,JPN,Ko type,coastal submarine,782.0,21 January 1944,sunk 24 May 1944,,,
Ro-117,JPN,Ko type,coastal submarine,782.0,31 January 1944,sunk 17 June 1944,,,
Ro-500 (ex-U-511),JPN,Type IXC,SS,1213.0,16 September 1943,Scuttled 30 April 1946,,,
Ro-501 (ex-U-1224),JPN,Type IXC/40,SS,1237.0,15 February 1944,Sunk 13 May 1944,,,
Roberts,ENG,Roberts,BM,8000.0,27 October 1941,scrapped June 1965,,,
Rocket,ENG,R,DD,1705.0,4 August 1943,paid off 11 May 1962,,,
Rockrose,ENG,Flower,K,925.0,4 November 1941,"to South Africa as Protea, 1947; sold 1962; scrapped 1967",,,
Rockwood,ENG,Hunt,DD,1050.0,4 November 1942,"constructive loss November 1943, scrapped 1946",,,
Rodman,USA,Gleaves,DD,1630.0,29 April 1942,"to Taiwan 1955, damaged and struck 1969, destroyed for motion picture 1976",,,
Rodney,ENG,Nelson,BB,34000.0,10 November 1927,scrapped 1948,,,
Roe,USA,Sims,DD,1570.0,5 January 1940,scrapped 1947,,,
Roebuck,ENG,R,DD,1705.0,10 June 1943,paid off 1962,,,
Roi,USA,Casablanca,CVE,7800.0,6 July 1944,"decommissioned 9 May 1946, scrapped 1947",,,
Roma,Regia Marina,Littorio,BB,41000.0,14 June 1942,sunk 9 September 1943,,,
Rosario,Argentine Navy,Rosario,GB,1055.0,1909,Sold 4 December 1959,,,
Rose,Royal Norwegian Navy,Flower,K,925.0,31 October 1941,"to Norway 31 October 1941, sunk 26 October 1944 by Manners",,,
Rosebay,ENG,Flower modified,K,1015.0,28 July 1943,paid off 20 March 1946,,,
Roselys,FRA,Flower,K,925.0,19 September 1941,1947,,,
Rosthern,Royal Canadian Navy,Flower,K,925.0,17 June 1941,paid off 19 July 1945,,,
Rotherham,ENG,R,DD,1705.0,August 1942,paid off 1945,,,
Rover,ENG,Rainbow,SS,2060.0,29 January 1931,Scrapped 1946,,,
Rowan,USA,Benham,DD,1500.0,23 September 1939,sunk 11 September 1943,,,
Roxborough,Royal Navy  Royal Canadian Navy  Soviet Navy,Town,DD,1060.0,23 September 1940,"to Canada 1942, to USSR 1 August 1944 as Zhyostky",,,
Royal Mount,Royal Canadian Navy,River,FF,1445.0,25 August 1944,paid off 17 November 1945,,,
Royal Oak,ENG,Revenge,BB,29150.0,1 May 1916,sunk 14 October 1939,,,
Royal Sovereign,Royal Navy  Soviet Navy,Revenge,BB,29150.0,1 February 1916,transferred to USSR as Arkhangelsk 30 May 1944,,,
Rucumilla,CHL,H,SS,441.0,1917,scrapped 1945,,,
Rudyerd Bay,USA,Casablanca,CVE,7800.0,25 February 1944,"decommissioned 11 June 1946, scrapped 1960",,,
Runnymede,Royal Canadian Navy,River,FF,1445.0,14 June 1944,paid off 19 January 1946,,,
Ruler,ENG,Ruler,CVE,15390.0,22 December 1943,"paid off 29 January 1946, scrapped 31 May 1946",,,
Russell,USA,Sims,DD,1570.0,3 November 1939,scrapped 1947,,,
Ryūhō,JPN,Ryūhō,CVL,13360.0,31 March 1934,"struck 30 November 1945, scrapped 1946",,,
Ryūjō,JPN,Ryūjō,CVL,10600.0,9 May 1933,sunk 24 August 1942,,,
Sackville,Royal Canadian Navy,Flower,K,925,30 December 1941,paid off 8 April 1946,,,
Safari,ENG,S,SS,814,14 March 1942,sank under tow 8 January 1946,,,
Saginaw Bay,USA,Casablanca,CVE,7800,2 March 1944,"decommissioned 19 June 1946, scrapped 1960",,,
Saguenay,Royal Canadian Navy,A,DD,1337,21 May 1931,paid up July 1945,,,
Sahib,ENG,S,SS,814,13 May 1942,sunk 24 April 1943,,,
Saint John,Royal Canadian Navy,River,FF,1445,13 December 1943,paid off 27 November 1945,,,
Saintes,ENG,Battle,DD,2325,27 September 1946[5],"paid off May 1962, scrapped 1972",,,
Sakura,JPN,Matsu,DD,1262,25 November 1944,sunk by mine 11 July 1945,,,
Salamaua,USA,Casablanca,CVE,7800,26 May 1944,"decommissioned 9 May 1946, scrapped 1947",,,
Salerno Bay,USA,Commencement Bay,CVE,10900,19 May 1945,scrapped October 1961,,,
Salisbury,Royal Navy  Royal Canadian Navy,Town,DD,1190,5 December 1940,"to Canada September 1942, paid off 10 December 1943, scrapped 1944",,,
Salmon,ENG,S,SS,670,8 March 1935,sunk 9 July 1940,,,
Salt Lake City,USA,Pensacola,CA,9100,11 December 1929,sunk as target 1948,,,
Salvia,ENG,Flower,K,925,20 September 1940,sunk on 24 December 1941 by U-568[6],,,
Samphire,ENG,Flower,K,925,30 June 1941,30 January 1943,,,
Sampson,USA,Somers,DD,1850,19 August 1938,scrapped 1946,,,
Samuel B. Roberts,USA,Butler,DE,1370,28 April 1944,sunk 25 October 1944 during the Battle off Samar,,,
San Diego,USA,Atlanta,CL,6000,10 January 1942,"decommissioned 1946, scrapped 1960",,,
San Francisco,USA,New Orleans,CA,9950,10 February 1934,"Decommissioned 10 February 1946, scrapped 1959",,,
San Giorgio,Regia Marina,San Giorgio,CA,10167,1 July 1910,decommissioned 22 January 1941,,,
San Jacinto,USA,Independence,CVL,11000,15 November 1943,"decommissioned 1 March 1947, scrapped 1972",,,
San Juan,Argentine Navy,Buenos Aires,DD,1375,23 March 1938,Discarded 1973,,,
San Juan,USA,Atlanta,CL,6000,28 February 1942,"decommissioned 1946, scrapped 1961",,,
San Luis,Argentine Navy,Buenos Aires,DD,1375,23 March 1938,Discarded 3 May 1971,,,
Sangamon,USA,Sangamon,CVE,24275,25 August 1942,"decommissioned 24 October 1945, scrapped August 1960",,,
Santa Cruz,Argentine Navy,Buenos Aires,DD,1375,26 September 1938,Discarded 1973,,,
Santa Fe,USA,Cleveland,CL,11800,24 November 1942,scrapped 1959,,,
Santee,USA,Sangamon,CVE,24275,24 August 1942,"decommissioned 21 October 1946, scrapped 1960",,,
São Paulo,Brazilian Navy,Minas Geraes,BB,19200,12 July 1910,Sold 1951,,,
Saracen,ENG,S,SS,814,27 June 1942,sunk 14 August 1943,,,
Saratoga,USA,Lexington,CV,33000,16 November 1927,sunk as a target 1946,,,
Sargent Bay,USA,Casablanca,CVE,7800,9 March 1944,"decommissioned 23 June 1946, scrapped 1959",,,
Saskatoon,Royal Canadian Navy,Flower,K,925,9 June 1941,paid off 25 June 1945,,,
Satterlee,USA,Gleaves,DD,1630,1 July 1943,"Decommissioned 16 March 1946, scrapped 1972",,,
Satyr,ENG,S,SS,814,8 February 1943,to French Navy February 1952,,,
Saumarez,ENG,S,DD,1710,1 July 1943,scrapped 1950,,,
Sava,Royal Yugoslav Navy,Temes,river monitor,440,15 April 1920,paid off 1962,,,
Savage,ENG,S,DD,1710,8 June 1943,scrapped 1962,,,
Savannah,USA,Brooklyn,CL,9475,10 March 1938,scrapped 1966,,,
Savo Island,USA,Casablanca,CVE,7800,3 February 1944,"decommissioned 12 December 1946, scrapped 1960",,,
Saxifrage,ENG,Flower,K,925,6 February 1942,,,,
Sceptre,ENG,S,SS,814,April 1943,paid off February 1947,,,
Scharnhorst,GER,Scharnhorst,BB,32000,7 January 1939,sunk 26 December 1943,,,
Schlesien,GER,Deutschland,BB,14218,5 May 1908,blown up 4 May 1945,,,
Schleswig-Holstein,GER,Deutschland,BB,14218,6 July 1908,scrapped after 1946,,,
Shubrick,USA,Gleaves,DD,1630,7 February 1943,scrapped 1947,,,
Scipione Africano,Regia Marina,Capitani Romani,light cruiser (also known as exploratori oceanici),3750,September 1942,to France as war reparations 1947; struck 1961; scrapped 1979,,,
Scorpion,ENG,S,DD,1710,11 May 1943,paid off 16 August 1945,,,
Scourge,ENG,S,DD,1710,14 July 1943,to Netherlands 1 February 1946,,,
Scylla,ENG,Dido,anti-aircraft cruiser,5600,12 June 1942,"declared constructive total loss 23 June 1944, scrapped May 1950",,,
Sea Cliff,Royal Canadian Navy,River,FF,1445,26 September 1944,paid off 28 November 1945,,,
Seadog,ENG,S,SS,814,24 September 1942,paid off 24 December 1947,,,
Sealion,ENG,S,SS,670,16 March 1934,scuttled 13 March 1945,,,
Sea Nymph,ENG,S,SS,814,3 November 1942,paid off 1945; scrapped 1948,,,
Searcher,ENG,Ruler,CVE,14400,3 April 1943,paid off 1945; sold 1952; scrapped April 1976,,,
Sea Rover,ENG,S,SS,814,7 July 1943,paid off October 1949,,,
Seawolf,ENG,S,SS,670,12 March 1936,scrapped 1946,,,
Seeadler,GER,Raubvogel,torpedo boat,1290,1 May 1927,sunk 13 May 1942,,,
Selfridge,USA,Porter,DD,1850,25 November 1936,scrapped 1947,,,
Semmes,USA,Clemson,DD,1250,21 February 1920,scrapped 25 November 1946,,,
Sendai,JPN,Sendai,CL,5195,29 April 1924,sunk 2 November 1943,,,
Seraph,ENG,S,SS,814,27 June 1942,paid off 25 October 1962,,,
Serapis,ENG,S,DD,1710,1943,to Netherlands in October 1943 as Piet Hein; broken up 1962,,,
Serrano,CHL,Serrano,DD,1090,1928,1962,,,
Seydlitz,GER,Enlarged Admiral Hipper,CA,14680,not completed,became Weser (Germany),,,
Sęp,Polish Navy,Orzeł,SS,1100,16 April 1939,decommissioned 15 September 1969,,,
Shah,ENG,Ruler,CVE,11400,27 September 1943,paid off 7 February 1946,,,
Shakespeare,ENG,S,SS,814,10 July 1942,paid off 14 July 1946,,,
Shamrock Bay,USA,Casablanca,CVE,7800,15 March 1944,"decommissioned 6 July 1946, scrapped 1958",,,
Shangri-La,USA,Essex,CV,30800,15 September 1944,"decommissioned 30 July 1971, scrapped 1988",,,
Shark,ENG,S,SS,670,31 December 1934,sunk 6 July 1940,,,
Shaw,USA,Mahan,DD,1450,18 September 1936,scrapped 1946,,,
Shawinigan,Royal Canadian Navy,Flower,K,925,19 September 1941,sunk 25 November 1944,,,
Shediac,Royal Canadian Navy,Flower,K,925,8 July 1941,paid off 28 August 1945,,,
Sherbrooke,Royal Canadian Navy,Flower,K,925,5 June 1941,paid off 28 June 1945,,,
Shillong,Royal Indian Navy,Basset,AM,529,1941–1944,1941–1944,,,
Shinano,JPN,,CV,64800,19 November 1944,sunk 29 November 1944,,,
Shin'yō,JPN,,CV,17500,15 November 1943,sunk 17 November 1944,,,
Shipley Bay,USA,Casablanca,CVE,7800,21 March 1944,"decommissioned 28 June 1946, scrapped 1960",,,
Shōhō,JPN,Zuihō,CV,11260,30 November 1941,sunk 8 May 1942,,,
Shōkaku,JPN,Shōkaku,CV,25675,8 August 1941,sunk 19 June 1944,,,
Siboney,USA,Commencement Bay,CVE,10900,14 May 1945,scrapped 1971,,,
Sibyl,ENG,S,SS,814,16 August 1942,scrapped 1948,,,
Sickle,ENG,S,SS,814,1 December 1942,likely sunk June 1944,,,
Sikh,ENG,Tribal,DD,2020,12 October 1938,sunk 17 January 1941,,,
Simoom,ENG,S,SS,814,30 December 1942,sunk November 1943,,,
Sims,USA,Sims,DD,1570,1 August 1939,sunk 7 May 1942 during the Battle of the Coral Sea,,,
Sioux,Royal Canadian Navy,V,DD,1710,14 September 1943,paid off 30 October 1963,,,
Sirdar,ENG,S,SS,814,20 September 1943,scrapped 1965,,,
Sirène,FRA,Sirène,SS,599,12 March 1927,Scuttled 27 November 1942,,,
Sitkoh Bay,USA,Casablanca,CVE,7800,28 March 1944,"decommissioned 27 July 1954, scrapped 1960",,,
Skagerak,GER,,CM,1281,1940,former Norwegian merchant ship Skagerrak I; sunk 20 January 1944 by Bristol Beaufighters of No. 489 Squadron RNZAF,,,
Skeena,Royal Canadian Navy,A,DD,1350,10 June 1931,sunk 25 October 1944,,,
Ślązak,Polish Navy,Hunt,DD,1050,9 May 1942,paid off 28 September 1946.,,,
Slinger,ENG,Ruler,CVE,8333,11 August 1943,"paid off 12 April 1946, scrapped 1969/70",,,
Sluys,ENG,Battle,DD,2325,30 September 1946[5],paid off 1953,,,
Smilax,ENG,Flower modified,K,1015,21 June 1943,paid off 9 October 1945,,,
Smiths Falls,Royal Canadian Navy,Flower modified,K,1015,28 November 1944,8 July 1945,,,
Smiter,ENG,Ruler,CVE,7800,20 January 1944,"paid off 6 May 1946, scrapped 1967",,,
Smith,USA,Mahan,DD,1450,19 September 1936,scrapped 1946,,,
Snapper,ENG,S,SS,670,25 October 1934,sunk February 1941,,,
Snowberry,Royal Canadian Navy,Flower,K,925,26 November 1940,paid off 8 June 1945,,,
Snowdrop,ENG,Flower,K,925,30 July 1941,sold May 1947; scrapped September 1949,,,
Snowflake,ENG,Flower,K,925,2 November 1941,"Sold 1947, converted to weather ship; scrapped May 1962",,,
Soemba,Royal Netherlands Navy,Flores,GB,1457,12 April 1926,scrapped June/July 1985,,,
Soerabaja,Royal Netherlands Navy  Imperial Japanese Navy,De Zeven Provinciën,coastal defence ship,6530,6 October 1910,"Sunk 18 February 1942, salvaged in 1942 by Imperial Japanese Navy and used as a battery ship, sunk in 1943 by Allied aircraft",,,
Solebay,ENG,Battle,DD,2325,25 September 1945[5],"paid off April 1962, scrapped 1967",,,
Sollum,Egypt,Anchusa,SL,1290,1920,,,,
Solomons,USA,Casablanca,CVE,7800,21 November 1943,"decommissioned 15 May 1946, scrapped 1947",,,
Somali,ENG,Tribal,DD,2020,12 December 1938,sunk 24 September 1942,,,
Somali,Free French Naval Forces,Cannon,DD,1240,9 April 1944,"Disarmed 1956, used as an experimental vessel",,,
Somers,USA,Somers,DD,1850,1 December 1937,scrapped 1947,,,
Sorel,Royal Canadian Navy,Flower,K,925,19 August 1941,paid off 22 June 1945,,,
Sōryū,JPN,,CV,15900,29 January 1937,sunk 4 June 1942,,,
South Dakota,USA,South Dakota,BB,35000,20 March 1942,"decommissioned 31 January 1947, scrapped 1962",,,
